tempo,x,y,theta,vel_dir,vel_esq
0,-2.95639e-09,0,-4.5,-14.7262,14.7262
0.01,-5.90367e-09,2.31956e-10,-9.00004,-14.7264,14.7263
0.02,-8.91785e-09,7.09358e-10,-13.5001,-14.7265,14.7265
0.03,-1.17926e-08,1.39952e-09,-18.0003,-14.7267,14.7266
0.04,-1.46042e-08,2.31311e-09,-22.5005,-14.7268,14.7268
0.05,-1.74237e-08,3.48099e-09,-27.0007,-14.727,14.7269
0.06,-2.00578e-08,4.82319e-09,-31.5009,-14.7271,14.7271
0.07,-2.25786e-08,6.36794e-09,-36.0013,-14.7273,14.7272
0.08,-2.50474e-08,8.16178e-09,-40.5016,-14.7274,14.7274
0.09,-2.72954e-08,1.00819e-08,-45.002,-14.7276,14.7275
0.1,1.74072e-06,-1.75806e-06,-49.5024,-14.7149,14.7399
0.11,0.00360651,-0.00422276,-53.7778,13.7628,41.7451
0.12,0.00995016,-0.0128832,-57.8417,40.3771,66.9752
0.13,0.0182289,-0.0260509,-61.7067,65.1214,90.4181
0.14,0.0277141,-0.0436717,-65.3847,88.0218,112.094
0.15,0.0377597,-0.0655976,-68.8866,109.128,132.048
0.16,0.0478042,-0.0916105,-72.2226,128.507,150.341
0.17,0.0573694,-0.121443,-75.4023,146.236,167.047
0.18,0.0660555,-0.154795,-78.4345,162.401,182.247
0.19,0.0735361,-0.191349,-81.3274,177.091,196.025
0.2,0.0795505,-0.23078,-84.0886,190.397,208.469
0.21,0.0838974,-0.272763,-86.7253,202.409,219.665
0.22,0.0864275,-0.316982,-89.244,213.214,229.699
0.23,0.0870365,-0.363133,-91.6509,222.9,238.653
0.24,0.085659,-0.410929,-93.9518,231.547,246.606
0.25,0.0822623,-0.460098,-96.1521,239.234,253.635
0.26,0.0768413,-0.510391,-98.2567,246.035,259.81
0.27,0.0694135,-0.561577,-100.271,252.02,265.2
0.28,0.0600152,-0.613445,-102.198,257.254,269.868
0.29,0.0486971,-0.665803,-104.043,261.798,273.873
0.3,0.0355218,-0.718478,-105.809,265.708,277.271
0.31,0.0205608,-0.771316,-107.501,269.039,280.112
0.32,0.00389186,-0.824178,-109.122,271.839,282.446
0.33,-0.0144025,-0.876944,-110.675,274.153,284.315
0.34,-0.0342371,-0.929504,-112.163,276.024,285.761
0.35,-0.055525,-0.981766,-113.589,277.49,286.822
0.36,-0.0781792,-1.03365,-114.955,278.587,287.532
0.37,-0.102113,-1.08508,-116.265,279.348,287.923
0.38,-0.127241,-1.136,-117.522,279.804,288.025
0.39,-0.15348,-1.18636,-118.726,279.982,287.865
0.4,-0.18075,-1.23611,-119.881,279.908,287.467
0.41,-0.20897,-1.28523,-120.989,279.605,286.855
0.42,-0.238068,-1.33368,-122.051,279.095,286.049
0.43,-0.267969,-1.38143,-123.07,278.398,285.068
0.44,-0.298606,-1.42849,-124.047,277.532,283.929
0.45,-0.329912,-1.47482,-124.985,276.513,282.65
0.46,-0.361826,-1.52042,-125.885,275.356,281.244
0.47,-0.394287,-1.56529,-126.748,274.076,279.725
0.48,-0.427241,-1.60942,-127.576,272.685,278.105
0.49,-0.460634,-1.65282,-128.371,271.194,276.395
0.5,-0.494416,-1.69549,-129.133,269.615,274.606
0.51,-0.528541,-1.73743,-129.865,267.957,272.746
0.52,-0.562965,-1.77865,-130.567,266.228,270.824
0.53,-0.597647,-1.81916,-131.241,264.437,268.848
0.54,-0.632548,-1.85897,-131.888,262.592,266.825
0.55,-0.667631,-1.89809,-132.509,260.699,264.761
0.56,-0.702864,-1.93653,-133.105,258.763,262.663
0.57,-0.738215,-1.9743,-133.676,256.791,260.534
0.58,-0.773653,-2.01141,-134.225,254.788,258.381
0.59,-0.809153,-2.04788,-134.752,252.759,256.207
0.6,-0.844687,-2.08373,-135.258,250.707,254.016
0.61,-0.880233,-2.11895,-135.743,248.636,251.813
0.62,-0.915769,-2.15358,-136.209,246.551,249.6
0.63,-0.951272,-2.18762,-136.656,244.453,247.38
0.64,-0.986726,-2.22108,-137.086,242.347,245.156
0.65,-1.02211,-2.25398,-137.498,240.234,242.931
0.66,-1.05741,-2.28633,-137.893,238.117,240.706
0.67,-1.09261,-2.31814,-138.273,235.998,238.484
0.68,-1.1277,-2.34943,-138.637,233.879,236.265
0.69,-1.16266,-2.38021,-138.987,231.763,234.053
0.7,-1.19749,-2.4105,-139.323,229.649,231.848
0.71,-1.23216,-2.4403,-139.646,227.541,229.651
0.72,-1.26667,-2.46962,-139.955,225.438,227.465
0.73,-1.30102,-2.49849,-140.253,223.344,225.289
0.74,-1.33519,-2.5269,-140.538,221.257,223.124
0.75,-1.36917,-2.55488,-140.812,219.18,220.973
0.76,-1.40296,-2.58242,-141.075,217.113,218.834
0.77,-1.43655,-2.60955,-141.327,215.057,216.71
0.78,-1.46993,-2.63627,-141.569,213.013,214.599
0.79,-1.50311,-2.66259,-141.802,210.981,212.504
0.8,-1.53606,-2.68853,-142.025,208.963,210.424
0.81,-1.5688,-2.71408,-142.24,206.957,208.36
0.82,-1.60132,-2.73927,-142.446,204.965,206.312
0.83,-1.63361,-2.76409,-142.643,202.987,204.28
0.84,-1.66566,-2.78856,-142.833,201.024,202.265
0.85,-1.69748,-2.81269,-143.015,199.075,200.267
0.86,-1.72907,-2.83648,-143.19,197.142,198.286
0.87,-1.76042,-2.85994,-143.358,195.223,196.322
0.88,-1.79153,-2.88308,-143.519,193.32,194.375
0.89,-1.82239,-2.9059,-143.673,191.433,192.445
0.9,-1.85302,-2.92842,-143.822,189.561,190.533
0.91,-1.88339,-2.95063,-143.964,187.705,188.638
0.92,-1.91353,-2.97255,-144.101,185.864,186.76
0.93,-1.94341,-2.99418,-144.233,184.04,184.9
0.94,-1.97305,-3.01554,-144.359,182.231,183.057
0.95,-2.00244,-3.03661,-144.48,180.439,181.231
0.96,-2.03159,-3.05741,-144.596,178.662,179.422
0.97,-2.06049,-3.07795,-144.708,176.901,177.631
0.98,-2.08914,-3.09823,-144.815,175.156,175.857
0.99,-2.11754,-3.11826,-144.918,173.427,174.1
1,-2.1457,-3.13803,-145.016,171.714,172.36
1.01,-2.17361,-3.15757,-145.111,170.016,170.636
1.02,-2.20127,-3.17686,-145.202,168.335,168.93
1.03,-2.22869,-3.19591,-145.289,166.668,167.24
1.04,-2.25586,-3.21474,-145.373,165.018,165.567
1.05,-2.2828,-3.23334,-145.454,163.383,163.91
1.06,-2.30949,-3.25171,-145.531,161.763,162.269
1.07,-2.33593,-3.26987,-145.605,160.159,160.644
1.08,-2.36214,-3.28781,-145.676,158.57,159.036
1.09,-2.38811,-3.30554,-145.744,156.996,157.443
1.1,-2.41384,-3.32306,-145.81,155.438,155.867
1.11,-2.43933,-3.34038,-145.873,153.894,154.306
1.12,-2.46459,-3.3575,-145.933,152.365,152.76
1.13,-2.48962,-3.37442,-145.991,150.85,151.23
1.14,-2.51441,-3.39115,-146.047,149.351,149.715
1.15,-2.53897,-3.40768,-146.1,147.865,148.215
1.16,-2.5633,-3.42403,-146.152,146.395,146.73
1.17,-2.5874,-3.4402,-146.201,144.938,145.26
1.18,-2.61127,-3.45618,-146.248,143.496,143.805
1.19,-2.63492,-3.47198,-146.293,142.067,142.364
1.2,-2.65835,-3.48761,-146.337,140.653,140.938
1.21,-2.68155,-3.50306,-146.379,139.253,139.526
1.22,-2.70453,-3.51834,-146.419,137.866,138.128
1.23,-2.7273,-3.53346,-146.457,136.492,136.744
1.24,-2.74984,-3.5484,-146.494,135.133,135.374
1.25,-2.77217,-3.56319,-146.53,133.786,134.018
1.26,-2.79429,-3.57781,-146.564,132.453,132.675
1.27,-2.81619,-3.59227,-146.596,131.133,131.346
1.28,-2.83789,-3.60658,-146.628,129.825,130.03
1.29,-2.85937,-3.62073,-146.658,128.531,128.728
1.3,-2.88065,-3.63473,-146.686,127.25,127.438
1.31,-2.90172,-3.64858,-146.714,125.981,126.162
1.32,-2.92258,-3.66228,-146.741,124.724,124.898
1.33,-2.94325,-3.67583,-146.766,123.48,123.647
1.34,-2.96371,-3.68924,-146.791,122.249,122.409
1.35,-2.98398,-3.7025,-146.814,121.029,121.183
1.36,-3.00405,-3.71563,-146.837,119.822,119.969
1.37,-3.02392,-3.72862,-146.858,118.626,118.768
1.38,-3.0436,-3.74146,-146.879,117.443,117.578
1.39,-3.06308,-3.75418,-146.899,116.271,116.401
1.4,-3.08238,-3.76676,-146.918,115.11,115.235
1.41,-3.10149,-3.7792,-146.936,113.961,114.081
1.42,-3.12041,-3.79152,-146.954,112.824,112.939
1.43,-3.13914,-3.80371,-146.971,111.698,111.808
1.44,-3.15769,-3.81577,-146.987,110.583,110.688
1.45,-3.17606,-3.82771,-147.002,109.479,109.58
1.46,-3.19425,-3.83952,-147.017,108.386,108.483
1.47,-3.21226,-3.8512,-147.031,107.304,107.397
1.48,-3.23009,-3.86277,-147.045,106.232,106.322
1.49,-3.24775,-3.87422,-147.058,105.172,105.257
1.5,-3.26523,-3.88555,-147.071,104.121,104.204
1.51,-3.28255,-3.89676,-147.083,103.082,103.161
1.52,-3.29969,-3.90785,-147.094,102.052,102.128
1.53,-3.31666,-3.91884,-147.105,101.033,101.106
1.54,-3.33346,-3.9297,-147.116,100.024,100.094
1.55,-3.3501,-3.94046,-147.126,99.0251,99.0918
1.56,-3.36657,-3.95111,-147.136,98.036,98.1
1.57,-3.38288,-3.96164,-147.145,97.0568,97.1181
1.58,-3.39903,-3.97207,-147.154,96.0873,96.1461
1.59,-3.41502,-3.98239,-147.163,95.1275,95.1838
1.6,-3.43085,-3.99261,-147.171,94.1773,94.2312
1.61,-3.44652,-4.00272,-147.179,93.2365,93.2882
1.62,-3.46204,-4.01273,-147.187,92.3051,92.3546
1.63,-3.4774,-4.02264,-147.194,91.3829,91.4304
1.64,-3.49262,-4.03244,-147.201,90.47,90.5154
1.65,-3.50768,-4.04215,-147.207,89.5661,89.6097
1.66,-3.52259,-4.05176,-147.214,88.6712,88.713
1.67,-3.53735,-4.06127,-147.22,87.7853,87.8253
1.68,-3.55197,-4.07068,-147.226,86.9082,86.9465
1.69,-3.56644,-4.08,-147.231,86.0398,86.0765
1.7,-3.58077,-4.08922,-147.237,85.1801,85.2152
1.71,-3.59495,-4.09835,-147.242,84.329,84.3626
1.72,-3.609,-4.10739,-147.247,83.4863,83.5185
1.73,-3.6229,-4.11633,-147.251,82.6521,82.6829
1.74,-3.63667,-4.12518,-147.256,81.8262,81.8556
1.75,-3.6503,-4.13395,-147.26,81.0085,81.0367
1.76,-3.66379,-4.14263,-147.264,80.199,80.2259
1.77,-3.67715,-4.15121,-147.268,79.3975,79.4233
1.78,-3.69038,-4.15972,-147.272,78.6041,78.6287
1.79,-3.70347,-4.16813,-147.276,77.8185,77.8421
1.8,-3.71644,-4.17646,-147.279,77.0408,77.0634
1.81,-3.72927,-4.18471,-147.282,76.2709,76.2924
1.82,-3.74198,-4.19287,-147.286,75.5086,75.5292
1.83,-3.75456,-4.20095,-147.289,74.754,74.7736
1.84,-3.76702,-4.20895,-147.291,74.0069,74.0257
1.85,-3.77935,-4.21687,-147.294,73.2672,73.2851
1.86,-3.79156,-4.22471,-147.297,72.5349,72.552
1.87,-3.80364,-4.23247,-147.299,71.8099,71.8263
1.88,-3.81561,-4.24015,-147.302,71.0922,71.1078
1.89,-3.82746,-4.24776,-147.304,70.3816,70.3965
1.9,-3.83919,-4.25529,-147.306,69.6782,69.6924
1.91,-3.8508,-4.26274,-147.308,68.9817,68.9952
1.92,-3.86229,-4.27012,-147.31,68.2922,68.3051
1.93,-3.87367,-4.27742,-147.312,67.6096,67.6219
1.94,-3.88494,-4.28465,-147.314,66.9338,66.9455
1.95,-3.8961,-4.29181,-147.316,66.2648,66.2759
1.96,-3.90714,-4.2989,-147.317,65.6024,65.613
1.97,-3.91807,-4.30591,-147.319,64.9466,64.9567
1.98,-3.9289,-4.31286,-147.32,64.2974,64.307
1.99,-3.93962,-4.31973,-147.322,63.6547,63.6638
2,-3.95023,-4.32654,-147.323,63.0184,63.0271
2.01,-3.96073,-4.33327,-147.324,62.3885,62.3967
2.02,-3.97113,-4.33994,-147.325,61.7648,61.7726
2.03,-3.98142,-4.34655,-147.326,61.1474,61.1548
2.04,-3.99161,-4.35308,-147.328,60.5361,60.5431
2.05,-4.0017,-4.35955,-147.329,59.931,59.9376
2.06,-4.01169,-4.36596,-147.329,59.3319,59.3381
2.07,-4.02158,-4.3723,-147.33,58.7388,58.7447
2.08,-4.03137,-4.37858,-147.331,58.1516,58.1571
2.09,-4.04107,-4.38479,-147.332,57.5703,57.5755
2.1,-4.05066,-4.39095,-147.333,56.9947,56.9997
2.11,-4.06016,-4.39704,-147.334,56.425,56.4296
